# AZIK/SKK タイピング練習例文
# 書式: 表示テキスト TAB 読み
#   {読み}         = 漢字・カタカナ語 → 先頭を大文字(Shift)で入力 (SKK変換開始)
#   {読み|送り仮名} = 送り仮名あり → 読みの頭と送り仮名の頭が両方 Shift
#
# AZIKストローク早見表:
#   っ=;  ん=q  ー=-
#   +ん suffix: z/n(あん) k(いん) j(うん) d(えん) l(おん)
#   +長音 suffix: q(あい) h(うう) w(えい) p(おう)
#   例: かん=kz, けい=kw, こう=kp, きん=kk, きょう=kyp
今日はいい天気ですね	{きょう}はいい{てんき}ですね
日本語の入力練習をしましょう	{にほんご}の{にゅうりょく}{れんしゅう}をしましょう
毎日練習することが大切です	{まいにち}{れんしゅう}することが{たいせつ}です
東京は大きな都市です	{とうきょう}は{おお|き}な{とし}です
春になると桜が咲きます	{はる}になると{さくら}が{さ|き}ます
山の上から景色を眺めた	{やま}の{うえ}から{けしき}を{なが|め}た
図書館で本を借りてきました	{としょかん}で{ほん}を{か|り}てきました
友達と映画を見に行きました	{ともだち}と{えいが}を{み}に{い|き}ました
新しい言語を覚えるのは難しい	{あたら|し}い{げんご}を{おぼ|え}るのは{むずか|し}い
音楽を聴きながら仕事をする	{おんがく}を{き|き}ながら{しごと}をする
週末は家でゆっくり休みたい	{しゅうまつ}は{いえ}でゆっくり{やす|み}たい
電車の中で本を読んでいる	{でんしゃ}の{なか}で{ほん}を{よ|ん}でいる
朝ごはんを食べてから学校へ行く	{あさ}ごはんを{た|べ}てから{がっこう}へ{い|く}
猫がソファの上で寝ている	{ねこ}が{そふぁ}の{うえ}で{ね|て}いる
雨が降ってきたので傘を開いた	{あめ}が{ふ}ってきたので{かさ}を{ひら|い}た
夏休みに海で泳いだ	{なつやすみ}に{うみ}で{およ|い}だ
自転車で公園まで行きました	{じてんしゃ}で{こうえん}まで{い|き}ました
この映画はとても感動的だった	この{えいが}はとても{かんどうてき}だった
来月から新しい仕事が始まる	{らいげつ}から{あたら|し}い{しごと}が{はじ|ま}る
子供たちが公園で遊んでいる	{こども}たちが{こうえん}で{あそ|ん}でいる
夜空に星がたくさん見える	{よぞら}に{ほし}がたくさん{み|え}る
風がとても強い日でした	{かぜ}がとても{つよ|い}{ひ}でした
駅まで歩いて十分かかります	{えき}まで{ある|い}て{じゅっぷん}かかります
お茶を一杯いただけますか	お{ちゃ}を{いっぱい}いただけますか
リンゴを三つ食べました	{りんご}を{みっつ}{た|べ}ました
先生が黒板に字を書いた	{せんせい}が{こくばん}に{じ}を{か|い}た
川の流れがとても速い	{かわ}の{なが|れ}がとても{はや|い}
空港まで電車で一時間かかる	{くうこう}まで{でんしゃ}で{いちじかん}かかる
冬は寒いので暖房が必要だ	{ふゆ}は{さむ|い}ので{だんぼう}が{ひつよう}だ
昨日の夜に雪が降ったらしい	{きのう}の{よる}に{ゆき}が{ふ}ったらしい
